"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"70",1.20597545417506e-203,2.36745942879263,0.252,0.024,2.07307180572693e-199,"CD8","Gzmf"
"71",0,1.3468619511393,0.674,0.024,0,"Treg","Izumo1r"
"72",6.10451309700536e-212,2.08305215020374,0.865,0.121,1.04936580137522e-207,"Treg","Tnfrsf4"
"73",2.12273719578233e-204,1.85843332820055,0.848,0.123,3.64898523954982e-200,"Treg","Ikzf2"
"74",4.71491163572866e-178,1.36089881109371,0.803,0.116,8.10493310181756e-174,"Treg","Icos"
"75",3.695552872533e-166,1.53554810467018,0.803,0.129,6.35265538788423e-162,"Treg","Ctla4"
"76",7.38345180188967e-141,1.49063904280332,0.871,0.182,1.26921536474483e-136,"Treg","Cd2"
"77",7.28494075524139e-135,1.55774281745747,0.848,0.184,1.25228131582599e-130,"Treg","Tnfrsf18"
"78",1.94590983256592e-112,1.49752781813689,0.865,0.21,3.34501900218081e-108,"Treg","Ltb"
"79",2.8339614238757e-97,1.29792952958134,0.871,0.226,4.87157968764232e-93,"Treg","Ptprcap"
"80",1.2976586240487e-61,1.37849217837039,0.927,0.6,2.23067517473972e-57,"Treg","Odc1"
"81",0,1.48185845476952,0.467,0.007,0,"NK","Klra7"
"82",0,1.31579788424476,0.321,0.003,0,"NK","Klra4"
"83",0,1.3072319210595,0.65,0.003,0,"NK","Ncr1"
"84",1.89221293947144e-265,2.10989791171452,0.708,0.042,3.2527140429514e-261,"NK","Xcl1"
"85",3.40299644436559e-215,3.52897226703446,0.569,0.034,5.84975088786445e-211,"NK","Gzma"
"86",8.91333138767324e-175,1.45279455651006,0.854,0.107,1.53220166554103e-170,"NK","Klre1"
"87",8.06623977857208e-141,1.42098977600662,0.891,0.143,1.38658661793654e-136,"NK","Ctsw"
"88",4.02230696555394e-127,1.29728002044322,0.883,0.161,6.91434567378723e-123,"NK","Gimap6"
"89",1.2411903952302e-98,1.60035811104391,0.832,0.189,2.13360628940071e-94,"NK","Ctla2a"
"90",1.74826863603688e-60,2.52232097508283,0.467,0.081,3.0052737853474e-56,"NK","Gzmc"
