"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"80",2.07375974120533e-51,1.19046186692728,0.822,0.366,3.56479299513197e-47,"7","Gpnmb"
"81",4.72946029813719e-308,2.25205880573902,0.986,0.087,8.12994225249784e-304,"8","Cd24a"
"82",6.79219553732515e-88,2.5461958838198,1,0.972,1.16757841286619e-83,"8","Cst3"
"83",2.45657072444763e-85,1.57432940128249,0.986,0.455,4.22284507532548e-81,"8","Naaa"
"84",3.96990759965042e-84,1.77235314956811,1,0.676,6.82427116379908e-80,"8","Irf8"
"85",7.22181886196502e-83,1.40142422708237,0.986,0.434,1.24143066237179e-78,"8","Plbd1"
"86",2.57780867503532e-74,1.38473115703681,0.957,0.521,4.43125311238571e-70,"8","Ppt1"
"87",1.73738066397019e-68,1.55727412372884,1,0.7,2.98655736136476e-64,"8","H2-Aa"
"88",3.37913507727362e-66,1.48765584701698,1,0.781,5.80873319783335e-62,"8","Cd74"
"89",1.44558868274736e-65,1.54487468798491,1,0.651,2.48496694564272e-61,"8","H2-Eb1"
"90",2.70128512494372e-64,1.52761314841618,1,0.765,4.64350912977825e-60,"8","H2-Ab1"
"91",0,3.17478652734319,0.993,0.042,0,"9","Ccr7"
"92",0,3.09011917619565,0.904,0.023,0,"9","Fscn1"
"93",0,2.61999127438046,0.794,0.013,0,"9","Ccl22"
"94",0,2.06656158428718,0.772,0.028,0,"9","Ramp3"
"95",0,2.02056589795773,0.963,0.062,0,"9","Socs2"
"96",5.72587353628873e-139,2.29857218824155,0.868,0.159,9.84277660888032e-135,"9","Serpinb6b"
"97",9.04155878151869e-103,2.44086421027818,1,0.45,1.55424395454306e-98,"9","Tmem123"
"98",1.23749654485321e-92,2.02136185270707,1,0.493,2.12725656060266e-88,"9","Lsp1"
"99",1.18357662410089e-66,2.04187522622158,0.993,0.972,2.03456821682943e-62,"9","Cst3"
"100",2.01393215387331e-66,2.3397092492281,0.949,0.486,3.46194937250822e-62,"9","Ccl5"
"101",0,1.52492456657302,0.489,0.007,0,"10","Klra7"
"102",0,1.35578082676911,0.679,0.003,0,"10","Ncr1"
"103",2.60646699320434e-284,2.23146660176999,0.718,0.04,4.48051676131826e-280,"10","Xcl1"
"104",1.23046268852991e-218,1.54623522738502,0.901,0.093,2.11516536158291e-214,"10","Klre1"
"105",6.43109508469029e-200,3.58897295051883,0.595,0.041,1.10550524505826e-195,"10","Gzma"
"106",8.70925607800084e-162,1.50417550145147,0.901,0.127,1.49712111980834e-157,"10","Ctsw"
"107",1.97455762316788e-112,1.40564835446285,0.924,0.183,3.39426455422558e-108,"10","Klrd1"
"108",3.99615382822295e-103,1.58232423740697,0.832,0.176,6.86938843071525e-99,"10","Ctla2a"
