"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"63",6.42095606772771e-160,1.69631971491778,0.929,0.298,1.10376234804239e-155,"6","Gsr"
"64",8.12132936665259e-148,2.16055240642353,0.653,0.11,1.39605651812758e-143,"6","Chil3"
"65",1.64263673828841e-119,1.53104002019644,0.991,0.734,2.82369255311778e-115,"6","Msrb1"
"66",1.07954394431237e-106,1.6929769181309,0.996,0.708,1.85573604027297e-102,"6","Plac8"
"67",9.19437628581575e-104,1.43278024004923,1,0.866,1.58051328353173e-99,"6","Lyz2"
"68",2.33879460928564e-87,1.21378305716304,0.796,0.308,4.02038793336201e-83,"6","Nr4a1"
"69",1.95312631465987e-66,1.39026617463753,0.822,0.366,3.35742413490031e-62,"6","Il1b"
"70",5.9290498165519e-62,1.24763227341212,0.711,0.302,1.01920366346527e-57,"6","Osm"
"71",0,1.3468619511393,0.674,0.024,0,"7","Izumo1r"
"72",6.10451309700536e-212,2.08305215020374,0.865,0.121,1.04936580137522e-207,"7","Tnfrsf4"
"73",2.12273719578233e-204,1.85843332820055,0.848,0.123,3.64898523954982e-200,"7","Ikzf2"
"74",4.71491163572866e-178,1.36089881109371,0.803,0.116,8.10493310181756e-174,"7","Icos"
"75",3.695552872533e-166,1.53554810467018,0.803,0.129,6.35265538788423e-162,"7","Ctla4"
"76",7.38345180188967e-141,1.49063904280332,0.871,0.182,1.26921536474483e-136,"7","Cd2"
"77",7.28494075524139e-135,1.55774281745747,0.848,0.184,1.25228131582599e-130,"7","Tnfrsf18"
"78",1.94590983256592e-112,1.49752781813689,0.865,0.21,3.34501900218081e-108,"7","Ltb"
"79",2.8339614238757e-97,1.29792952958134,0.871,0.226,4.87157968764232e-93,"7","Ptprcap"
"80",1.2976586240487e-61,1.37849217837039,0.927,0.6,2.23067517473972e-57,"7","Odc1"
"81",8.47550881805813e-298,2.19372479805728,0.986,0.094,1.45693996582419e-293,"8","Cd24a"
"82",1.57218531772e-91,2.37517757959803,1,0.969,2.70258656116068e-87,"8","Cst3"
"83",5.98977096640656e-83,1.44383385746339,0.986,0.508,1.02964162912529e-78,"8","Naaa"
"84",9.95931252245185e-82,1.61803242457114,0.993,0.767,1.71200582260947e-77,"8","Irf8"
"85",1.96792366203918e-76,1.26684593596939,0.986,0.497,3.38286077504534e-72,"8","Plbd1"
"86",5.87236026881495e-73,1.29043480758846,0.946,0.507,1.00945873020929e-68,"8","Ppt1"
"87",6.28236410709688e-66,1.36972967410416,1,0.711,1.07993839000995e-61,"8","H2-Aa"
"88",1.28278196407327e-63,1.29986316166716,1,0.797,2.20510219624195e-59,"8","Cd74"
"89",1.42948915522961e-62,1.35954190983293,1,0.66,2.45729185783969e-58,"8","H2-Eb1"
"90",6.08692120709384e-62,1.33944979817931,1,0.766,1.04634175549943e-57,"8","H2-Ab1"
"91",0,1.48185845476952,0.467,0.007,0,"9","Klra7"
"92",0,1.31579788424476,0.321,0.003,0,"9","Klra4"
